Year,Month,Day,Hour,Minute,Temperature,Humidity
2020,03,02,00,00,15.33,61.00
2020,03,02,01,00,14.84,63.00
2020,03,02,02,00,14.41,65.00
2020,03,02,03,00,14.07,66.00
2020,03,02,04,00,13.81,68.00
2020,03,02,05,00,13.62,70.00
2020,03,02,06,00,15.64,66.00
2020,03,02,07,00,20.25,54.00
2020,03,02,08,00,23.01,47.00
2020,03,02,09,00,24.90,43.00
2020,03,02,10,00,26.33,38.00
2020,03,02,11,00,27.24,35.00
2020,03,02,12,00,27.82,32.00
2020,03,02,13,00,27.74,30.00
2020,03,02,14,00,27.35,29.00
2020,03,02,15,00,26.55,29.00
2020,03,02,16,00,24.87,32.00
2020,03,02,17,00,23.31,36.00
2020,03,02,18,00,21.76,40.00
2020,03,02,19,00,19.56,45.00
2020,03,02,20,00,18.02,50.00
2020,03,02,21,00,16.77,55.00
2020,03,02,22,00,16.06,57.00
2020,03,02,23,00,15.51,59.00
2020,03,03,00,00,15.10,61.00
2020,03,03,01,00,14.65,63.00
2020,03,03,02,00,14.20,65.00
2020,03,03,03,00,13.82,67.00
2020,03,03,04,00,13.50,70.00
2020,03,03,05,00,13.37,72.00
2020,03,03,06,00,15.36,68.00
2020,03,03,07,00,19.62,57.00
2020,03,03,08,00,22.05,47.00
2020,03,03,09,00,23.97,42.00
2020,03,03,10,00,23.71,39.00
2020,03,03,11,00,25.65,33.00
2020,03,03,12,00,25.76,31.00
2020,03,03,13,00,25.54,30.00
2020,03,03,14,00,25.23,30.00
2020,03,03,15,00,24.75,30.00
2020,03,03,16,00,23.54,33.00
2020,03,03,17,00,21.19,38.00
2020,03,03,18,00,19.65,41.00
2020,03,03,19,00,18.32,43.00
2020,03,03,20,00,17.03,45.00
2020,03,03,21,00,16.09,46.00
2020,03,03,22,00,15.74,47.00
2020,03,03,23,00,15.31,48.00
