Year,Month,Day,Hour,Minute,Temperature,Relative Humidity
2020,02,02,00,00,14.16,55.00
2020,02,02,01,00,14.12,55.00
2020,02,02,02,00,12.55,59.00
2020,02,02,03,00,12.98,56.00
2020,02,02,04,00,11.55,60.00
2020,02,02,05,00,10.94,60.00
2020,02,02,06,00,11.02,60.00
2020,02,02,07,00,14.89,50.00
2020,02,02,08,00,16.43,46.00
2020,02,02,09,00,17.66,42.00
2020,02,02,10,00,18.65,38.00
2020,02,02,11,00,19.26,35.00
2020,02,02,12,00,19.48,31.00
2020,02,02,13,00,19.23,30.00
2020,02,02,14,00,18.46,31.00
2020,02,02,15,00,17.29,35.00
2020,02,02,16,00,15.42,42.00
2020,02,02,17,00,13.44,42.00
2020,02,02,18,00,11.89,49.00
2020,02,02,19,00,11.10,54.00
2020,02,02,20,00,10.51,58.00
2020,02,02,21,00,10.08,61.00
2020,02,02,22,00,9.78,64.00
2020,02,02,23,00,9.34,67.00
2020,02,03,00,00,8.92,70.00
2020,02,03,01,00,8.55,72.00
2020,02,03,02,00,8.21,73.00
2020,02,03,03,00,7.98,74.00
2020,02,03,04,00,7.80,74.00
2020,02,03,05,00,7.61,75.00
2020,02,03,06,00,7.80,73.00
2020,02,03,07,00,12.13,60.00
2020,02,03,08,00,14.99,38.00
2020,02,03,09,00,16.58,34.00
2020,02,03,10,00,17.90,32.00
2020,02,03,11,00,18.85,30.00
2020,02,03,12,00,19.55,30.00
2020,02,03,13,00,19.84,29.00
2020,02,03,14,00,19.70,30.00
2020,02,03,15,00,19.15,31.00
2020,02,03,16,00,17.66,36.00
2020,02,03,17,00,16.09,47.00
2020,02,03,18,00,14.84,52.00
2020,02,03,19,00,13.86,56.00
2020,02,03,20,00,12.92,60.00
2020,02,03,21,00,12.16,64.00
2020,02,03,22,00,11.46,68.00
2020,02,03,23,00,10.87,71.00
2020,02,04,00,00,10.30,75.00
2020,02,04,01,00,9.84,78.00
2020,02,04,02,00,9.53,81.00
2020,02,04,03,00,9.20,83.00
2020,02,04,04,00,8.76,87.00
2020,02,04,05,00,8.45,90.00
2020,02,04,06,00,9.00,88.00
2020,02,04,07,00,13.49,69.00
2020,02,04,08,00,16.38,57.00
2020,02,04,09,00,18.05,48.00
2020,02,04,10,00,19.47,41.00
2020,02,04,11,00,20.47,35.00
2020,02,04,12,00,21.13,34.00
2020,02,04,13,00,21.38,33.00
2020,02,04,14,00,21.27,33.00
2020,02,04,15,00,20.70,33.00
2020,02,04,16,00,19.22,38.00
2020,02,04,17,00,17.40,46.00
2020,02,04,18,00,16.10,51.00
2020,02,04,19,00,15.24,54.00
2020,02,04,20,00,14.24,59.00
2020,02,04,21,00,13.32,63.00
2020,02,04,22,00,12.57,66.00
2020,02,04,23,00,12.00,69.00
2020,02,05,00,00,11.35,72.00
2020,02,05,01,00,10.71,75.00
2020,02,05,02,00,10.11,78.00
2020,02,05,03,00,9.64,81.00
2020,02,05,04,00,9.20,84.00
2020,02,05,05,00,8.90,86.00
2020,02,05,06,00,10.29,80.00
2020,02,05,07,00,12.18,74.00
2020,02,05,08,00,16.66,55.00
2020,02,05,09,00,18.82,40.00
2020,02,05,10,00,20.30,29.00
2020,02,05,11,00,21.28,24.00
2020,02,05,12,00,21.83,20.00
2020,02,05,13,00,21.79,19.00
2020,02,05,14,00,21.18,18.00
2020,02,05,15,00,20.00,19.00
2020,02,05,16,00,17.66,24.00
2020,02,05,17,00,15.85,36.00
2020,02,05,18,00,14.84,39.00
2020,02,05,19,00,14.03,42.00
2020,02,05,20,00,13.35,45.00
2020,02,05,21,00,12.98,47.00
2020,02,05,22,00,12.44,50.00
2020,02,05,23,00,12.01,54.00
2020,02,06,00,00,11.51,58.00
2020,02,06,01,00,11.22,62.00
2020,02,06,02,00,10.78,66.00
2020,02,06,03,00,10.57,69.00
2020,02,06,04,00,10.25,70.00
2020,02,06,05,00,9.97,72.00
2020,02,06,06,00,10.18,72.00
2020,02,06,07,00,14.51,53.00
2020,02,06,08,00,17.08,41.00
2020,02,06,09,00,18.52,37.00
2020,02,06,10,00,19.73,34.00
2020,02,06,11,00,20.67,31.00
2020,02,06,12,00,21.31,29.00
2020,02,06,13,00,21.52,28.00
2020,02,06,14,00,21.35,27.00
2020,02,06,15,00,20.70,28.00
2020,02,06,16,00,19.03,33.00
2020,02,06,17,00,16.70,32.00
2020,02,06,18,00,15.27,35.00
2020,02,06,19,00,14.09,38.00
2020,02,06,20,00,12.97,40.00
2020,02,06,21,00,12.08,43.00
2020,02,06,22,00,11.33,45.00
2020,02,06,23,00,10.68,48.00
2020,02,07,00,00,10.09,50.00
2020,02,07,01,00,9.53,53.00
2020,02,07,02,00,9.07,55.00
2020,02,07,03,00,8.70,58.00
2020,02,07,04,00,8.29,61.00
2020,02,07,05,00,8.00,63.00
2020,02,07,06,00,8.62,63.00
2020,02,07,07,00,13.28,53.00
2020,02,07,08,00,17.33,31.00
2020,02,07,09,00,19.01,26.00
2020,02,07,10,00,20.20,24.00
2020,02,07,11,00,21.07,23.00
2020,02,07,12,00,21.66,22.00
2020,02,07,13,00,21.85,22.00
2020,02,07,14,00,21.64,21.00
2020,02,07,15,00,20.94,22.00
2020,02,07,16,00,19.46,25.00
2020,02,07,17,00,18.37,40.00
2020,02,07,18,00,17.47,43.00
2020,02,07,19,00,16.17,47.00
2020,02,07,20,00,14.98,50.00
2020,02,07,21,00,14.38,53.00
2020,02,07,22,00,14.16,54.00
2020,02,07,23,00,13.72,56.00
2020,02,08,00,00,13.57,57.00
2020,02,08,01,00,13.41,58.00
2020,02,08,02,00,13.22,60.00
2020,02,08,03,00,13.20,61.00
2020,02,08,04,00,13.28,62.00
2020,02,08,05,00,13.42,63.00
2020,02,08,06,00,14.21,62.00
2020,02,08,07,00,16.71,57.00
2020,02,08,08,00,18.33,51.00
2020,02,08,09,00,19.52,47.00
2020,02,08,10,00,21.14,42.00
2020,02,08,11,00,22.12,37.00
2020,02,08,12,00,23.02,28.00
2020,02,08,13,00,23.49,26.00
2020,02,08,14,00,23.39,27.00
2020,02,08,15,00,22.81,28.00
2020,02,08,16,00,21.37,33.00
2020,02,08,17,00,20.24,42.00
2020,02,08,18,00,19.46,44.00
2020,02,08,19,00,18.92,46.00
2020,02,08,20,00,18.39,48.00
2020,02,08,21,00,17.83,50.00
2020,02,08,22,00,17.33,52.00
2020,02,08,23,00,16.94,53.00
2020,02,09,00,00,16.72,54.00
2020,02,09,01,00,16.39,55.00
2020,02,09,02,00,16.28,56.00
2020,02,09,03,00,16.08,57.00
2020,02,09,04,00,15.87,58.00
2020,02,09,05,00,15.80,59.00
2020,02,09,06,00,15.69,63.00
2020,02,09,07,00,15.47,70.00
2020,02,09,08,00,15.43,75.00
2020,02,09,09,00,15.35,76.00
2020,02,09,10,00,16.03,73.00
2020,02,09,11,00,16.61,70.00
2020,02,09,12,00,17.18,69.00
2020,02,09,13,00,17.54,65.00
2020,02,09,14,00,17.77,65.00
2020,02,09,15,00,18.12,65.00
2020,02,09,16,00,17.47,67.00
2020,02,09,17,00,15.81,71.00
2020,02,09,18,00,15.06,75.00
2020,02,09,19,00,14.55,78.00
2020,02,09,20,00,13.63,82.00
2020,02,09,21,00,12.94,86.00
2020,02,09,22,00,12.30,88.00
2020,02,09,23,00,11.83,90.00
2020,02,10,00,00,11.38,92.00
2020,02,10,01,00,10.93,93.00
2020,02,10,02,00,10.51,94.00
2020,02,10,03,00,10.15,95.00
2020,02,10,04,00,9.78,96.00
2020,02,10,05,00,9.51,96.00
2020,02,10,06,00,10.48,90.00
2020,02,10,07,00,15.07,70.00
2020,02,10,08,00,17.52,58.00
2020,02,10,09,00,18.76,46.00
2020,02,10,10,00,20.65,37.00
2020,02,10,11,00,21.54,34.00
2020,02,10,12,00,22.14,31.00
2020,02,10,13,00,22.32,29.00
2020,02,10,14,00,22.14,28.00
